video_id,premise,hypothesis,entailment,neutral,contradiction,is_contradiction
trial_lie_001,"No sir, I did not.",Did you help Grant kill Laura Acrison?,0.9619033336639404,0.0011805400718003511,0.0369160957634449,False
trial_lie_001,"No sir, I did not.",I absolutely did not.,0.05282854661345482,0.9460760951042175,0.0010952868033200502,False
trial_lie_001,"No sir, I did not.",Were you present when Grant killed Laura Acrison?,0.9718923568725586,0.0010515352478250861,0.02705611102283001,False
trial_lie_001,"No sir, I did not.","No sir, I was not.",0.00826942827552557,0.9912220239639282,0.0005085748853161931,False
trial_lie_001,"No sir, I did not.",Did you know that Laura had died before you got to Texas?,0.9854041934013367,0.0009134507272392511,0.013682305812835693,False
trial_lie_001,Did you help Grant kill Laura Acrison?,I absolutely did not.,0.09243235737085342,0.0017212866805493832,0.9058462977409363,True
trial_lie_001,Did you help Grant kill Laura Acrison?,Were you present when Grant killed Laura Acrison?,0.047842107713222504,0.9407692551612854,0.011388623155653477,False
trial_lie_001,Did you help Grant kill Laura Acrison?,"No sir, I was not.",0.017926150932908058,0.002534434897825122,0.9795395135879517,True
trial_lie_001,Did you help Grant kill Laura Acrison?,Did you know that Laura had died before you got to Texas?,0.9533893465995789,0.0017393335001543164,0.04487127438187599,False
trial_lie_001,Did you help Grant kill Laura Acrison?,No sir.,0.03304218500852585,0.008946917951107025,0.9580109119415283,True
trial_lie_001,I absolutely did not.,Were you present when Grant killed Laura Acrison?,0.9374104738235474,0.0015523270703852177,0.06103721633553505,False
trial_lie_001,I absolutely did not.,"No sir, I was not.",0.02691838890314102,0.9713883996009827,0.001693245372734964,False
trial_lie_001,I absolutely did not.,Did you know that Laura had died before you got to Texas?,0.9454222917556763,0.0012138112215325236,0.05336391180753708,False
trial_lie_001,I absolutely did not.,No sir.,0.21827135980129242,0.75970858335495,0.02202010713517666,False
trial_lie_001,Were you present when Grant killed Laura Acrison?,"No sir, I was not.",0.024975504726171494,0.00356745021417737,0.9714571237564087,True
trial_lie_001,Were you present when Grant killed Laura Acrison?,Did you know that Laura had died before you got to Texas?,0.913909375667572,0.004259551875293255,0.08183103799819946,False
trial_lie_001,Were you present when Grant killed Laura Acrison?,No sir.,0.03083660826086998,0.006144189741462469,0.9630191922187805,True
trial_lie_001,"No sir, I was not.",Did you know that Laura had died before you got to Texas?,0.9782748222351074,0.0010021774796769023,0.02072300761938095,False
trial_lie_001,"No sir, I was not.",No sir.,0.007158907130360603,0.9919912219047546,0.0008499398245476186,False
trial_lie_001,Did you know that Laura had died before you got to Texas?,No sir.,0.011410593055188656,0.004038527607917786,0.9845508933067322,True
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"I was heading to the nursery, which is, I know you guys have all seen the layout.",0.8709266781806946,0.0021146389190107584,0.1269586980342865,False
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,0.7452380657196045,0.01070947665721178,0.24405252933502197,False
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",0.9822806715965271,0.0016853470588102937,0.016034021973609924,False
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",0.17296592891216278,0.0024975810665637255,0.8245364427566528,True
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"and whenever she did, they both went over the chair and landed on the floor.",0.050788938999176025,0.0017100219847634435,0.947501003742218,True
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.",There was a love seat right there and a rocking chair right next to each other and there's a little wall.,0.9866428375244141,0.0020820561330765486,0.011275150813162327,False
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",0.9475116729736328,0.0014880946837365627,0.0510002002120018,False
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",0.7786232233047485,0.004378573969006538,0.2169981598854065,False
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","and whenever she did, they both went over the chair and landed on the floor.",0.8854245543479919,0.003221794031560421,0.11135365068912506,False
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And I just went, I ran to the bedroom with Lily.",0.011752596125006676,0.0006406246684491634,0.9876068234443665,True
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",0.9810073971748352,0.000996496295556426,0.01799607276916504,False
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",0.9777544140815735,0.0008546904427930713,0.021390847861766815,False
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"and whenever she did, they both went over the chair and landed on the floor.",0.3221712112426758,0.0014947026502341032,0.6763340830802917,True
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And I just went, I ran to the bedroom with Lily.",0.03078012354671955,0.0004978373181074858,0.9687220454216003,True
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,I didn't even stick around to see what happened.,0.027900289744138718,0.0004909438430331647,0.9716086983680725,True
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",0.06168735772371292,0.002652203431352973,0.9356604814529419,True
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","and whenever she did, they both went over the chair and landed on the floor.",0.03915907070040703,0.0027857788372784853,0.9580551385879517,True
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And I just went, I ran to the bedroom with Lily.",0.05564238503575325,0.0009985198266804218,0.9433591365814209,True
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",I didn't even stick around to see what happened.,0.8966233134269714,0.0022374126128852367,0.10113920271396637,False
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",0.6496877074241638,0.0034932163543999195,0.3468190133571625,False
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","and whenever she did, they both went over the chair and landed on the floor.",0.16762018203735352,0.004983102437108755,0.827396810054779,True
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","And I just went, I ran to the bedroom with Lily.",0.006536953151226044,0.0002422604156890884,0.9932208061218262,True
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",I didn't even stick around to see what happened.,0.9622424244880676,0.0009872604859992862,0.036770328879356384,False
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",0.6442016959190369,0.004801725968718529,0.35099658370018005,False
