video_id,label,video_path,audio_path,transcript_path
trial_truth_001,truthful,data/videos/truthful/trial_truth_001.mp4,data/audio/trial_truth_001.wav,data/transcripts/trial_truth_001.txt
trial_truth_002,truthful,data/videos/truthful/trial_truth_002.mp4,data/audio/trial_truth_002.wav,data/transcripts/trial_truth_002.txt
trial_truth_003,truthful,data/videos/truthful/trial_truth_003.mp4,data/audio/trial_truth_003.wav,data/transcripts/trial_truth_003.txt
trial_truth_004,truthful,data/videos/truthful/trial_truth_004.mp4,data/audio/trial_truth_004.wav,data/transcripts/trial_truth_004.txt
trial_truth_005,truthful,data/videos/truthful/trial_truth_005.mp4,data/audio/trial_truth_005.wav,data/transcripts/trial_truth_005.txt
trial_truth_006,truthful,data/videos/truthful/trial_truth_006.mp4,data/audio/trial_truth_006.wav,data/transcripts/trial_truth_006.txt
trial_truth_007,truthful,data/videos/truthful/trial_truth_007.mp4,data/audio/trial_truth_007.wav,data/transcripts/trial_truth_007.txt
trial_truth_008,truthful,data/videos/truthful/trial_truth_008.mp4,data/audio/trial_truth_008.wav,data/transcripts/trial_truth_008.txt
trial_truth_009,truthful,data/videos/truthful/trial_truth_009.mp4,data/audio/trial_truth_009.wav,data/transcripts/trial_truth_009.txt
trial_truth_010,truthful,data/videos/truthful/trial_truth_010.mp4,data/audio/trial_truth_010.wav,data/transcripts/trial_truth_010.txt
trial_truth_011,truthful,data/videos/truthful/trial_truth_011.mp4,data/audio/trial_truth_011.wav,data/transcripts/trial_truth_011.txt
trial_truth_012,truthful,data/videos/truthful/trial_truth_012.mp4,data/audio/trial_truth_012.wav,data/transcripts/trial_truth_012.txt
trial_truth_013,truthful,data/videos/truthful/trial_truth_013.mp4,data/audio/trial_truth_013.wav,data/transcripts/trial_truth_013.txt
trial_truth_014,truthful,data/videos/truthful/trial_truth_014.mp4,data/audio/trial_truth_014.wav,data/transcripts/trial_truth_014.txt
trial_truth_015,truthful,data/videos/truthful/trial_truth_015.mp4,data/audio/trial_truth_015.wav,data/transcripts/trial_truth_015.txt
trial_truth_016,truthful,data/videos/truthful/trial_truth_016.mp4,data/audio/trial_truth_016.wav,data/transcripts/trial_truth_016.txt
trial_truth_017,truthful,data/videos/truthful/trial_truth_017.mp4,data/audio/trial_truth_017.wav,data/transcripts/trial_truth_017.txt
trial_truth_018,truthful,data/videos/truthful/trial_truth_018.mp4,data/audio/trial_truth_018.wav,data/transcripts/trial_truth_018.txt
trial_truth_019,truthful,data/videos/truthful/trial_truth_019.mp4,data/audio/trial_truth_019.wav,data/transcripts/trial_truth_019.txt
trial_truth_020,truthful,data/videos/truthful/trial_truth_020.mp4,data/audio/trial_truth_020.wav,data/transcripts/trial_truth_020.txt
trial_truth_021,truthful,data/videos/truthful/trial_truth_021.mp4,data/audio/trial_truth_021.wav,data/transcripts/trial_truth_021.txt
trial_truth_022,truthful,data/videos/truthful/trial_truth_022.mp4,data/audio/trial_truth_022.wav,data/transcripts/trial_truth_022.txt
trial_truth_023,truthful,data/videos/truthful/trial_truth_023.mp4,data/audio/trial_truth_023.wav,data/transcripts/trial_truth_023.txt
trial_truth_024,truthful,data/videos/truthful/trial_truth_024.mp4,data/audio/trial_truth_024.wav,data/transcripts/trial_truth_024.txt
trial_truth_025,truthful,data/videos/truthful/trial_truth_025.mp4,data/audio/trial_truth_025.wav,data/transcripts/trial_truth_025.txt
trial_truth_026,truthful,data/videos/truthful/trial_truth_026.mp4,data/audio/trial_truth_026.wav,data/transcripts/trial_truth_026.txt
trial_truth_027,truthful,data/videos/truthful/trial_truth_027.mp4,data/audio/trial_truth_027.wav,data/transcripts/trial_truth_027.txt
trial_truth_028,truthful,data/videos/truthful/trial_truth_028.mp4,data/audio/trial_truth_028.wav,data/transcripts/trial_truth_028.txt
trial_truth_029,truthful,data/videos/truthful/trial_truth_029.mp4,data/audio/trial_truth_029.wav,data/transcripts/trial_truth_029.txt
trial_truth_030,truthful,data/videos/truthful/trial_truth_030.mp4,data/audio/trial_truth_030.wav,data/transcripts/trial_truth_030.txt
trial_truth_031,truthful,data/videos/truthful/trial_truth_031.mp4,data/audio/trial_truth_031.wav,data/transcripts/trial_truth_031.txt
trial_truth_032,truthful,data/videos/truthful/trial_truth_032.mp4,data/audio/trial_truth_032.wav,data/transcripts/trial_truth_032.txt
trial_truth_033,truthful,data/videos/truthful/trial_truth_033.mp4,data/audio/trial_truth_033.wav,data/transcripts/trial_truth_033.txt
trial_truth_034,truthful,data/videos/truthful/trial_truth_034.mp4,data/audio/trial_truth_034.wav,data/transcripts/trial_truth_034.txt
trial_truth_035,truthful,data/videos/truthful/trial_truth_035.mp4,data/audio/trial_truth_035.wav,data/transcripts/trial_truth_035.txt
trial_truth_036,truthful,data/videos/truthful/trial_truth_036.mp4,data/audio/trial_truth_036.wav,data/transcripts/trial_truth_036.txt
trial_truth_037,truthful,data/videos/truthful/trial_truth_037.mp4,data/audio/trial_truth_037.wav,data/transcripts/trial_truth_037.txt
trial_truth_038,truthful,data/videos/truthful/trial_truth_038.mp4,data/audio/trial_truth_038.wav,data/transcripts/trial_truth_038.txt
trial_truth_039,truthful,data/videos/truthful/trial_truth_039.mp4,data/audio/trial_truth_039.wav,data/transcripts/trial_truth_039.txt
trial_truth_040,truthful,data/videos/truthful/trial_truth_040.mp4,data/audio/trial_truth_040.wav,data/transcripts/trial_truth_040.txt
trial_truth_041,truthful,data/videos/truthful/trial_truth_041.mp4,data/audio/trial_truth_041.wav,data/transcripts/trial_truth_041.txt
trial_truth_042,truthful,data/videos/truthful/trial_truth_042.mp4,data/audio/trial_truth_042.wav,data/transcripts/trial_truth_042.txt
trial_truth_043,truthful,data/videos/truthful/trial_truth_043.mp4,data/audio/trial_truth_043.wav,data/transcripts/trial_truth_043.txt
trial_truth_044,truthful,data/videos/truthful/trial_truth_044.mp4,data/audio/trial_truth_044.wav,data/transcripts/trial_truth_044.txt
